"waterBodyId","waterBodyName","studyId","studyName","studyDates","parameterId","parameterType","parameterName","parameterUnit","parameterLimit","parameterLimitText","v","vText","k","point"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",6,"Físicoquimico","Alcalinidad total","miligramos de Carbonato de Calcio por litro",9.75,"<9.75",178.86,"178.86","RS-09","Camino Salvador"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",6,"Físicoquimico","Alcalinidad total","miligramos de Carbonato de Calcio por litro",9.75,"<9.75",235.44,"235.44","RS-10","Paso La Yesca"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",7,"Físicoquimico","Cloruros totales","miligramos por litro",5.56,"<5.56",27.35,"27.35","RS-01","Ocotlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",7,"Físicoquimico","Cloruros totales","miligramos por litro",5.56,"<5.56",46.82,"46.82","RS-02","Presa Corona"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",7,"Físicoquimico","Cloruros totales","miligramos por litro",5.56,"<5.56",40.83,"40.83","AA-01","Carr. Chapala"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",7,"Físicoquimico","Cloruros totales","miligramos por litro",5.56,"<5.56",30.83,"30.83","RZ-01","Río Zula"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",7,"Físicoquimico","Cloruros totales","miligramos por litro",5.56,"<5.56",73.27,"73.27","RS-03","Ex-hacienda Zap."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",7,"Físicoquimico","Cloruros totales","miligramos por litro",5.56,"<5.56",43.38,"43.38","RS-04","Salto-Juanacatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",7,"Físicoquimico","Cloruros totales","miligramos por litro",5.56,"<5.56",46.86,"46.86","RS-05","Puente Grande"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",7,"Físicoquimico","Cloruros totales","miligramos por litro",5.56,"<5.56",43.71,"43.71","AA-02","El Muelle"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",7,"Físicoquimico","Cloruros totales","miligramos por litro",5.56,"<5.56",41.77,"41.77","RS-06","Matatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",7,"Físicoquimico","Cloruros totales","miligramos por litro",5.56,"<5.56",44.18,"44.18","RS-07","Paso de Gpe."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",7,"Físicoquimico","Cloruros totales","miligramos por litro",5.56,"<5.56",53.37,"53.37","RS-08","Cristóbal de la B."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",7,"Físicoquimico","Cloruros totales","miligramos por litro",5.56,"<5.56",37.06,"37.06","RS-09","Camino Salvador"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",7,"Físicoquimico","Cloruros totales","miligramos por litro",5.56,"<5.56",58.23,"58.23","RS-10","Paso La Yesca"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",4,"Físicoquimico","Conductividad","microsiemens por centímetro",0,"--",485,"485","RS-01","Ocotlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",4,"Físicoquimico","Conductividad","microsiemens por centímetro",0,"--",624,"624","RS-02","Presa Corona"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",4,"Físicoquimico","Conductividad","microsiemens por centímetro",0,"--",692,"692","AA-01","Carr. Chapala"
